,Subject,Subject Name,ID,Intensity Median,Intensity Mean,Intensity Sum,Intensity StdDev,Intensity Min,Intensity Max,Volume,Surface Area,Sphericity,Intensity/Volume,Microglia Intensity_Sum
0,1,Abi3+/+_APPPS1,0,10437.1,13706.9,1863650000,9976.65,1994,65535,4135.52,4005.2,0.311085,2.523769683,886496000
1,1,Abi3+/+_APPPS1,1,11928.7,16610.6,9927710000,12283.2,2029,65535,17937,10977.2,0.301875,0.665033172,2496110000
2,1,Abi3+/+_APPPS1,2,12826.7,17613.2,693960000,11997.4,2151,65535,1182.42,811.582,0.666293,10.84783749,209132000
3,1,Abi3+/+_APPPS1,3,15615.8,20545,1636410000,13037.6,3108,64380,2379.35,1253.67,0.6875,6.563052935,446550000
4,1,Abi3+/+_APPPS1,4,12722.9,15391.8,4049570000,8208.82,2960,54448,7846.88,3784.22,0.504629,1.62139602,940817000
5,1,Abi3+/+_APPPS1,5,12186.9,15254,1527290000,8921.97,2681,61592,3007.09,2203.79,0.457171,4.052722067,702679000
6,1,Abi3+/+_APPPS1,6,12288.7,17028.1,6229920000,12095.4,2409,65535,10964.6,6326.53,0.377266,1.120761359,1705070000
7,1,Abi3+/+_APPPS1,7,12438.5,18038.5,724337000,12903.7,2681,65535,1204.28,1010.91,0.54149,10.32857807,463664000
8,1,Abi3+/+_APPPS1,8,11227.3,14625.2,4421360000,9647.88,2407,65535,9090.87,6434.11,0.327391,1.235008311,1726690000
9,1,Abi3+/+_APPPS1,9,11768.2,16298.6,4803480000,11244,1998,65535,8820.92,6786.21,0.304228,1.334123878,1451160000
10,1,Abi3+/+_APPPS1,10,9984.64,12157.9,1416980000,7269.35,2800,65535,3508.19,3184.83,0.350579,2.846094425,536888000
11,1,Abi3+/+_APPPS1,11,11559.3,14433.2,1887770000,7916.01,2269,51837,3898.6,2741.47,0.436958,2.964987431,701076000
12,1,Abi3+/+_APPPS1,12,12126.4,14495.3,1440570000,7126.22,2969,44246,2952.54,1937.27,0.513757,4.107107778,357480000
13,1,Abi3+/+_APPPS1,13,12721,15439.1,4020430000,8209.86,2831,54083,7775.58,3638.08,0.521716,1.636019435,1405800000
14,1,Abi3+/+_APPPS1,14,12286,17214.5,12821600000,12325.9,2697,65535,22315.5,12324.8,0.311011,0.550559028,3997460000
15,10,Abi3+/+_APPPS1,0,13006.8,17183.2,1011510000,10885.7,2778,65535,1755.91,1545.44,0.455444,7.407441156,501764000
16,10,Abi3+/+_APPPS1,1,13418,18926,12428200000,14740.8,3053,65535,19736.6,10525.6,0.335545,0.679853673,2675160000
17,10,Abi3+/+_APPPS1,2,12444.2,16777.8,9978050000,12243.7,3669,65535,17912.6,10818.8,0.306016,0.694717685,2581590000
18,10,Abi3+/+_APPPS1,3,13346.6,18712.6,6133960000,14120.4,2997,65535,9840.62,5671.62,0.391554,1.356276332,1291390000
19,10,Abi3+/+_APPPS1,4,13018,19724,10691500000,16014.5,3723,65535,16290,9211.74,0.337357,0.799140577,1972710000
20,10,Abi3+/+_APPPS1,5,11033.4,14346.9,1011940000,10867.1,3813,65535,2109,2160.77,0.368066,5.231578947,319165000
21,10,Abi3+/+_APPPS1,6,15276.4,21196.5,7350480000,15101.8,3087,65535,10448.6,4416.36,0.52335,1.462052332,1337700000
22,10,Abi3+/+_APPPS1,7,11802,15305.4,539532000,9790.39,4207,65535,1040.27,1051.94,0.47198,11.34513155,212917000
23,10,Abi3+/+_APPPS1,8,13437.3,18328.8,10591600000,12993,2599,65535,17285.8,8854.33,0.365135,0.777360608,2856530000
24,10,Abi3+/+_APPPS1,9,12809.5,17054.1,3705370000,11443.4,3632,65535,6491.89,4001.37,0.420588,1.973154197,886574000
25,10,Abi3+/+_APPPS1,10,13592.1,19225.3,14241700000,14625,3386,65535,22264.3,10992.9,0.348161,0.61048854,3306820000
