
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
335.243,321.107,12.4154,um,Surface,Position,1,0,
330.54,242.973,15.4739,um,Surface,Position,1,1,
241.206,298.931,14.6456,um,Surface,Position,1,2,
313.18,175.701,16.9651,um,Surface,Position,1,3,
311.122,196.288,8.49823,um,Surface,Position,1,4,
170.207,301.589,11.1883,um,Surface,Position,1,5,
275.705,156.141,9.61417,um,Surface,Position,1,6,
320.508,94.6119,10.7676,um,Surface,Position,1,7,
246.409,128.953,11.6494,um,Surface,Position,1,8,
105.962,259.454,8.51242,um,Surface,Position,1,9,
343.779,5.74218,9.91315,um,Surface,Position,1,10,
202.878,180.203,10.3365,um,Surface,Position,1,11,
273.564,83.6432,7.89095,um,Surface,Position,1,12,
43.3863,237.86,7.17898,um,Surface,Position,1,13,
158.687,121.353,10.522,um,Surface,Position,1,14,
256.078,23.9003,6.86199,um,Surface,Position,1,15,
211.165,34.496,9.17186,um,Surface,Position,1,16,
192.649,85.9975,12.9685,um,Surface,Position,1,17,
109.132,138.545,11.3647,um,Surface,Position,1,18,
9.16443,38.8737,9.97039,um,Surface,Position,1,19,
