
Intensity Median Ch=5 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
19.472,,Surface,5,Image 1,1,0,
12.5278,,Surface,5,Image 1,1,1,
4.424,,Surface,5,Image 1,1,2,
6.05603,,Surface,5,Image 1,1,3,
39.6875,,Surface,5,Image 1,1,4,
6.84009,,Surface,5,Image 1,1,5,
15.072,,Surface,5,Image 1,1,6,
22.872,,Surface,5,Image 1,1,7,
10.564,,Surface,5,Image 1,1,8,
0,,Surface,5,Image 1,1,9,
16.088,,Surface,5,Image 1,1,10,
30.144,,Surface,5,Image 1,1,11,
6.73584,,Surface,5,Image 1,1,12,
26.672,,Surface,5,Image 1,1,13,
22.416,,Surface,5,Image 1,1,14,
0,,Surface,5,Image 1,1,15,
9.431,,Surface,5,Image 1,1,16,
