
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
1994,,Surface,4,Image 1,1,0,
2029,,Surface,4,Image 1,1,1,
2151,,Surface,4,Image 1,1,2,
3108,,Surface,4,Image 1,1,3,
2960,,Surface,4,Image 1,1,4,
2681,,Surface,4,Image 1,1,5,
2409,,Surface,4,Image 1,1,6,
2681,,Surface,4,Image 1,1,7,
2407,,Surface,4,Image 1,1,8,
1998,,Surface,4,Image 1,1,9,
2800,,Surface,4,Image 1,1,10,
2269,,Surface,4,Image 1,1,11,
2969,,Surface,4,Image 1,1,12,
2831,,Surface,4,Image 1,1,13,
2697,,Surface,4,Image 1,1,14,
