
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.501701,,Surface,1,0,
0.195623,,Surface,1,1,
0.646129,,Surface,1,2,
0.423727,,Surface,1,3,
0.322362,,Surface,1,4,
0.599687,,Surface,1,5,
0.234645,,Surface,1,6,
0.558199,,Surface,1,7,
0.373396,,Surface,1,8,
0.487585,,Surface,1,9,
0.394401,,Surface,1,10,
0.373672,,Surface,1,11,
0.386602,,Surface,1,12,
0.33717,,Surface,1,13,
0.443012,,Surface,1,14,
0.364107,,Surface,1,15,
0.409482,,Surface,1,16,
0.467538,,Surface,1,17,
0.613761,,Surface,1,18,
0.615923,,Surface,1,19,
0.350128,,Surface,1,20,
0.413229,,Surface,1,21,
0.614538,,Surface,1,22,
0.708557,,Surface,1,23,
0.584883,,Surface,1,24,
