
Intensity Sum Ch=9 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
9.65475e+06,,Surface,9,Image 1,1,0,
2.6261e+07,,Surface,9,Image 1,1,1,
3.20024e+06,,Surface,9,Image 1,1,2,
8.78951e+06,,Surface,9,Image 1,1,3,
0,,Surface,9,Image 1,1,4,
0,,Surface,9,Image 1,1,5,
0,,Surface,9,Image 1,1,6,
2.37133e+07,,Surface,9,Image 1,1,7,
7.46892e+07,,Surface,9,Image 1,1,8,
4.08712e+06,,Surface,9,Image 1,1,9,
203078,,Surface,9,Image 1,1,10,
3.37171e+07,,Surface,9,Image 1,1,11,
1.06341e+06,,Surface,9,Image 1,1,12,
1.20636e+07,,Surface,9,Image 1,1,13,
2.44082e+07,,Surface,9,Image 1,1,14,
1.25857e+08,,Surface,9,Image 1,1,15,
6.6031e+07,,Surface,9,Image 1,1,16,
3.10673e+07,,Surface,9,Image 1,1,17,
3.902e+07,,Surface,9,Image 1,1,18,
6.14759e+08,,Surface,9,Image 1,1,19,
2.19264e+06,,Surface,9,Image 1,1,20,
