
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
7.90433,um,Surface,Image 1,1,0,
28.0011,um,Surface,Image 1,1,1,
48.2594,um,Surface,Image 1,1,2,
0,um,Surface,Image 1,1,3,
61.7755,um,Surface,Image 1,1,4,
36.9748,um,Surface,Image 1,1,5,
98.1076,um,Surface,Image 1,1,6,
0,um,Surface,Image 1,1,7,
59.0388,um,Surface,Image 1,1,8,
82.4632,um,Surface,Image 1,1,9,
0,um,Surface,Image 1,1,10,
82.7423,um,Surface,Image 1,1,11,
46.86,um,Surface,Image 1,1,12,
0,um,Surface,Image 1,1,13,
0,um,Surface,Image 1,1,14,
