
Area
 ==================== 
Area,Unit,Category,Time,ID,
1223.33,um^2,Surface,1,0,
3878.87,um^2,Surface,1,1,
4978.13,um^2,Surface,1,2,
973.547,um^2,Surface,1,3,
10683.9,um^2,Surface,1,4,
978.204,um^2,Surface,1,5,
1813.44,um^2,Surface,1,6,
10138.5,um^2,Surface,1,7,
1575,um^2,Surface,1,8,
2228.69,um^2,Surface,1,9,
21977,um^2,Surface,1,10,
12582.8,um^2,Surface,1,11,
3502.33,um^2,Surface,1,12,
1184.9,um^2,Surface,1,13,
936.36,um^2,Surface,1,14,
1688.59,um^2,Surface,1,15,
1416.64,um^2,Surface,1,16,
768.578,um^2,Surface,1,17,
1053.76,um^2,Surface,1,18,
6315.28,um^2,Surface,1,19,
