
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.632857,,Surface,1,0,
0.520923,,Surface,1,1,
0.165144,,Surface,1,2,
0.19255,,Surface,1,3,
0.304386,,Surface,1,4,
0.303451,,Surface,1,5,
0.198426,,Surface,1,6,
0.340964,,Surface,1,7,
0.259487,,Surface,1,8,
0.195677,,Surface,1,9,
0.0828555,,Surface,1,10,
0.379994,,Surface,1,11,
0.283374,,Surface,1,12,
0.280712,,Surface,1,13,
0.34189,,Surface,1,14,
0.424227,,Surface,1,15,
0.302483,,Surface,1,16,
0.522902,,Surface,1,17,
0.528952,,Surface,1,18,
0.273801,,Surface,1,19,
