
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.389135,,Surface,1,0,
0.673532,,Surface,1,1,
0.304881,,Surface,1,2,
0.27066,,Surface,1,3,
0.542947,,Surface,1,4,
0.746709,,Surface,1,5,
0.143039,,Surface,1,6,
0.8263,,Surface,1,7,
0.791441,,Surface,1,8,
0.333835,,Surface,1,9,
0.819202,,Surface,1,10,
0.407665,,Surface,1,11,
0.780005,,Surface,1,12,
0.511651,,Surface,1,13,
0.764897,,Surface,1,14,
0.447948,,Surface,1,15,
0.654943,,Surface,1,16,
0.746425,,Surface,1,17,
0.503984,,Surface,1,18,
0.736535,,Surface,1,19,
0.606789,,Surface,1,20,
0.365148,,Surface,1,21,
0.836883,,Surface,1,22,
0.378759,,Surface,1,23,
0.377565,,Surface,1,24,
0.365506,,Surface,1,25,
0.758824,,Surface,1,26,
0.879396,,Surface,1,27,
0.622297,,Surface,1,28,
0.501474,,Surface,1,29,
