
Volume
 ==================== 
Volume,Unit,Category,Time,ID,
1881.9,um^3,Surface,1,0,
1024.9,um^3,Surface,1,1,
14667.5,um^3,Surface,1,2,
6266.25,um^3,Surface,1,3,
1491.84,um^3,Surface,1,4,
1759.36,um^3,Surface,1,5,
1281.15,um^3,Surface,1,6,
5118.74,um^3,Surface,1,7,
1286.78,um^3,Surface,1,8,
7319.81,um^3,Surface,1,9,
41968.2,um^3,Surface,1,10,
1427.55,um^3,Surface,1,11,
1078.1,um^3,Surface,1,12,
7490.65,um^3,Surface,1,13,
2876.54,um^3,Surface,1,14,
1672.98,um^3,Surface,1,15,
4381.82,um^3,Surface,1,16,
20946.5,um^3,Surface,1,17,
1851.22,um^3,Surface,1,18,
10343.4,um^3,Surface,1,19,
2408.67,um^3,Surface,1,20,
1783.6,um^3,Surface,1,21,
4139.2,um^3,Surface,1,22,
1611.29,um^3,Surface,1,23,
1239.84,um^3,Surface,1,24,
1552.25,um^3,Surface,1,25,
2292.16,um^3,Surface,1,26,
24192.2,um^3,Surface,1,27,
3905.14,um^3,Surface,1,28,
6117.47,um^3,Surface,1,29,
