
Intensity Max Ch=8 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
34259,,Surface,8,Image 1,1,0,
65535,,Surface,8,Image 1,1,1,
9225,,Surface,8,Image 1,1,2,
38979,,Surface,8,Image 1,1,3,
36644,,Surface,8,Image 1,1,4,
64736,,Surface,8,Image 1,1,5,
9525,,Surface,8,Image 1,1,6,
25373,,Surface,8,Image 1,1,7,
4853,,Surface,8,Image 1,1,8,
65535,,Surface,8,Image 1,1,9,
12038,,Surface,8,Image 1,1,10,
10933,,Surface,8,Image 1,1,11,
56228,,Surface,8,Image 1,1,12,
60338,,Surface,8,Image 1,1,13,
9816,,Surface,8,Image 1,1,14,
35371,,Surface,8,Image 1,1,15,
12387,,Surface,8,Image 1,1,16,
23487,,Surface,8,Image 1,1,17,
25372,,Surface,8,Image 1,1,18,
41197,,Surface,8,Image 1,1,19,
