
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
399.444,um,Surface,Distance from Origin,1,0,
368.288,um,Surface,Distance from Origin,1,1,
381.759,um,Surface,Distance from Origin,1,2,
359.449,um,Surface,Distance from Origin,1,3,
355.606,um,Surface,Distance from Origin,1,4,
315.335,um,Surface,Distance from Origin,1,5,
348.54,um,Surface,Distance from Origin,1,6,
245.228,um,Surface,Distance from Origin,1,7,
215.929,um,Surface,Distance from Origin,1,8,
91.4292,um,Surface,Distance from Origin,1,9,
152.953,um,Surface,Distance from Origin,1,10,
