
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
3048.13,,Surface,1,Image 1,1,0,
2440.5,,Surface,1,Image 1,1,1,
2611.59,,Surface,1,Image 1,1,2,
1575.79,,Surface,1,Image 1,1,3,
2886.01,,Surface,1,Image 1,1,4,
2321.2,,Surface,1,Image 1,1,5,
1853.62,,Surface,1,Image 1,1,6,
2571.52,,Surface,1,Image 1,1,7,
2039.7,,Surface,1,Image 1,1,8,
4152.01,,Surface,1,Image 1,1,9,
2883.77,,Surface,1,Image 1,1,10,
2972.94,,Surface,1,Image 1,1,11,
2785.42,,Surface,1,Image 1,1,12,
2044.73,,Surface,1,Image 1,1,13,
