
Intensity StdDev Ch=4 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
10610.1,,Surface,4,Image 1,1,0,
8204.26,,Surface,4,Image 1,1,1,
14322.8,,Surface,4,Image 1,1,2,
9907.29,,Surface,4,Image 1,1,3,
11406,,Surface,4,Image 1,1,4,
11035.5,,Surface,4,Image 1,1,5,
4506.15,,Surface,4,Image 1,1,6,
13662.6,,Surface,4,Image 1,1,7,
5491.31,,Surface,4,Image 1,1,8,
10586.2,,Surface,4,Image 1,1,9,
14846.2,,Surface,4,Image 1,1,10,
4414.67,,Surface,4,Image 1,1,11,
10036.6,,Surface,4,Image 1,1,12,
15022.1,,Surface,4,Image 1,1,13,
5731.4,,Surface,4,Image 1,1,14,
12857.9,,Surface,4,Image 1,1,15,
8987.66,,Surface,4,Image 1,1,16,
10153,,Surface,4,Image 1,1,17,
8277.29,,Surface,4,Image 1,1,18,
9384.16,,Surface,4,Image 1,1,19,
10553.2,,Surface,4,Image 1,1,20,
