ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,11665.2196,62094,724340145,724340145
ROI_0_IntensityCD31,9264.3249,62094,575258988,575258988
ROI_0_IntensityAbeta,1096.4166,62094,68080894,68080894
ROI_1_IntensityaSMA,20643.5474,4512,93143686,93143686
ROI_1_IntensityCD31,9097.8706,4512,41049592,41049592
ROI_1_IntensityAbeta,1594.4991,4512,7194380,7194380
ROI_2_IntensityaSMA,26369.8831,24797,653893991,653893991
ROI_2_IntensityCD31,6963.2398,24797,172667458,172667458
ROI_2_IntensityAbeta,594.1516,24797,14733178,14733178
ROI_0_aSMA_IntensityaSMA,26230.9914,23921,627471545,627471545
ROI_0_aSMA_IntensityCD31,6949.0192,23921,166227488,166227488
ROI_0_aSMA_IntensityAbeta,972.1465,23921,23254717,23254717
ROI_0_CD31_IntensityaSMA,10535.8329,51326,540762158,540762158
ROI_0_CD31_IntensityCD31,10928.1537,51326,560898418,560898418
ROI_0_CD31_IntensityAbeta,868.8924,51326,44596773,44596773
ROI_0_Abeta_IntensityaSMA,8388.4033,7243,60757205,60757205
ROI_0_Abeta_IntensityCD31,7254.181,7243,52542033,52542033
ROI_0_Abeta_IntensityAbeta,7355.337,7243,53274706,53274706
ROI_1_aSMA_IntensityaSMA,35479.308,2458,87208139,87208139
ROI_1_aSMA_IntensityCD31,8230.0704,2458,20229513,20229513
ROI_1_aSMA_IntensityAbeta,1227.657,2458,3017581,3017581
ROI_1_CD31_IntensityaSMA,18023.9597,3797,68436975,68436975
ROI_1_CD31_IntensityCD31,10585.1612,3797,40191857,40191857
ROI_1_CD31_IntensityAbeta,1699.7909,3797,6454106,6454106
ROI_1_Abeta_IntensityaSMA,17383.9769,1081,18792079,18792079
ROI_1_Abeta_IntensityCD31,8070.6355,1081,8724357,8724357
ROI_1_Abeta_IntensityAbeta,5946.1933,1081,6427835,6427835
ROI_2_aSMA_IntensityaSMA,32211.8738,19792,637537407,637537407
ROI_2_aSMA_IntensityCD31,6507.8384,19792,128803137,128803137
ROI_2_aSMA_IntensityAbeta,561.7768,19792,11118687,11118687
ROI_2_CD31_IntensityaSMA,26168.0116,18166,475368098,475368098
ROI_2_CD31_IntensityCD31,8959.6498,18166,162760998,162760998
ROI_2_CD31_IntensityAbeta,446.0242,18166,8102476,8102476
ROI_2_Abeta_IntensityaSMA,24913.9178,1070,26657892,26657892
ROI_2_Abeta_IntensityCD31,4634.6579,1070,4959084,4959084
ROI_2_Abeta_IntensityAbeta,7886.271,1070,8438310,8438310
