ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,20342.9933,323032,6.5714E9,6.5714E9
ROI_0_IntensityCD31,11458.6613,323032,3.7015E9,3.7015E9
ROI_0_IntensityAbeta,5029.0665,323032,1.6245E9,1.6245E9
ROI_0_aSMA_IntensityaSMA,30858.0734,198264,6.1180E9,6.1180E9
ROI_0_aSMA_IntensityCD31,11576.5069,198264,2.2952E9,2.2952E9
ROI_0_aSMA_IntensityAbeta,6172.4779,198264,1223780151,1223780151
ROI_0_CD31_IntensityaSMA,22770.3469,226889,5.1663E9,5.1663E9
ROI_0_CD31_IntensityCD31,15715.2844,226889,3.5656E9,3.5656E9
ROI_0_CD31_IntensityAbeta,4722.5982,226889,1071505578,1071505578
ROI_0_Abeta_IntensityaSMA,20795.4251,85223,1.7722E9,1.7722E9
ROI_0_Abeta_IntensityCD31,11036.8662,85223,940594847,940594847
ROI_0_Abeta_IntensityAbeta,18432.8045,85223,1570898898,1570898898
