ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,12666.9252,240585,3.0475E9,3.0475E9
ROI_0_IntensityCD31,8222.2016,240585,1.9781E9,1.9781E9
ROI_0_IntensityAbeta,75.7024,240585,18212856,18212856
ROI_0_aSMA_IntensityaSMA,30423.5293,87266,2.6549E9,2.6549E9
ROI_0_aSMA_IntensityCD31,11246.0886,87266,981401172,981401172
ROI_0_aSMA_IntensityAbeta,70.2926,87266,6134151,6134151
ROI_0_CD31_IntensityaSMA,14508.3799,134057,1944949887,1944949887
ROI_0_CD31_IntensityCD31,14308.7029,134057,1918181782,1918181782
ROI_0_CD31_IntensityAbeta,67.5811,134057,9059716,9059716
ROI_0_Abeta_IntensityaSMA,2491.6667,6,14950,14950
ROI_0_Abeta_IntensityCD31,4883.5,6,29301,29301
ROI_0_Abeta_IntensityAbeta,6752.6667,6,40516,40516
