ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,26314.1826,21057,554097743,554097743
ROI_0_IntensityCD31,10134.5569,21057,213403365,213403365
ROI_0_IntensityAbeta,5114.9716,21057,107705958,107705958
ROI_0_aSMA_IntensityaSMA,41889.1179,12521,524493645,524493645
ROI_0_aSMA_IntensityCD31,14867.2643,12521,186153016,186153016
ROI_0_aSMA_IntensityAbeta,6117.3331,12521,76595128,76595128
ROI_0_CD31_IntensityaSMA,36455.2388,10597,386316166,386316166
ROI_0_CD31_IntensityCD31,19616.1672,10597,207872524,207872524
ROI_0_CD31_IntensityAbeta,5629.0497,10597,59651040,59651040
ROI_0_Abeta_IntensityaSMA,29975.1349,4017,120410117,120410117
ROI_0_Abeta_IntensityCD31,12472.4556,4017,50101854,50101854
ROI_0_Abeta_IntensityAbeta,25047.0127,4017,100613850,100613850
