ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,18943.2277,10696,202616764,202616764
ROI_0_IntensityCD31,17417.098,10696,186293280,186293280
ROI_0_IntensityAbeta,5014.4422,10696,53634474,53634474
ROI_0_aSMA_IntensityaSMA,31115.601,6055,188404964,188404964
ROI_0_aSMA_IntensityCD31,16204.4078,6055,98117689,98117689
ROI_0_aSMA_IntensityAbeta,3851.3234,6055,23319763,23319763
ROI_0_CD31_IntensityaSMA,17031.6533,8733,148737428,148737428
ROI_0_CD31_IntensityCD31,21002.0907,8733,183411258,183411258
ROI_0_CD31_IntensityAbeta,5499.6434,8733,48028386,48028386
ROI_0_Abeta_IntensityaSMA,14796.3681,3947,58401265,58401265
ROI_0_Abeta_IntensityCD31,22368.7314,3947,88289383,88289383
ROI_0_Abeta_IntensityAbeta,13224.2731,3947,52196206,52196206
