ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,26609.1112,12889,342964834,342964834
ROI_0_IntensityCD31,16817.0156,12889,216754514,216754514
ROI_0_IntensityAbeta,11018.0195,12889,142011253,142011253
ROI_0_aSMA_IntensityaSMA,32407.4918,10415,337524027,337524027
ROI_0_aSMA_IntensityCD31,18286.9118,10415,190458186,190458186
ROI_0_aSMA_IntensityAbeta,11286.3326,10415,117547154,117547154
ROI_0_CD31_IntensityaSMA,26504.6134,11954,316836148,316836148
ROI_0_CD31_IntensityCD31,18002.3693,11954,215200323,215200323
ROI_0_CD31_IntensityAbeta,11254.1035,11954,134531553,134531553
ROI_0_Abeta_IntensityaSMA,27265.4706,7048,192167037,192167037
ROI_0_Abeta_IntensityCD31,18437.8898,7048,129950247,129950247
ROI_0_Abeta_IntensityAbeta,19976.7452,7048,140796100,140796100
