ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,4108.0702,8535,35062379,35062379
ROI_0_IntensityCD31,8147.1132,8535,69535611,69535611
ROI_0_IntensityAbeta,1520.7086,8535,12979248,12979248
ROI_0_aSMA_IntensityaSMA,34147.6676,752,25679046,25679046
ROI_0_aSMA_IntensityCD31,4580.2633,752,3444358,3444358
ROI_0_aSMA_IntensityAbeta,800.4535,752,601941,601941
ROI_0_CD31_IntensityaSMA,2808.9909,8057,22632040,22632040
ROI_0_CD31_IntensityCD31,8534.7655,8057,68764606,68764606
ROI_0_CD31_IntensityAbeta,1524.4811,8057,12282744,12282744
ROI_0_Abeta_IntensityaSMA,2840.2137,1582,4493218,4493218
ROI_0_Abeta_IntensityCD31,8257.6157,1582,13063548,13063548
ROI_0_Abeta_IntensityAbeta,6114.6005,1582,9673298,9673298
