ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0aSMA,505.3333,0.06569,33.1939,1516
ROI_0CD31,452.6667,0.06569,29.7343,1358
ROI_0abeta,482.3333,0.06569,31.6831,1447
ROI_1aSMA,4783.6378,90666.1013,433713786,1.9808E10
ROI_1CD31,2897.848,90666.1013,262736577,1.1999E10
ROI_1abeta,1132.0847,90666.1013,102641709,4.6878E9
ROI_2aSMA,4764.4155,91568.2253,436269075,1.9925E10
ROI_2CD31,2883.8276,91568.2253,264066975,1.2060E10
ROI_2abeta,1122.1278,91568.2253,102751252,4.6928E9
ROI_0_aSMAaSMA,4756.8383,91837.0824,436854147,1.9952E10
ROI_0_aSMACD31,2879.3836,91837.0824,264434190,1.2077E10
ROI_0_aSMAabeta,1121.1105,91837.0824,102959514,4.7023E9
ROI_0_CD31aSMA,4756.8383,91837.0824,436854147,1.9952E10
ROI_0_CD31CD31,2879.3836,91837.0824,264434190,1.2077E10
ROI_0_CD31abeta,1121.1105,91837.0824,102959514,4.7023E9
ROI_0_AbetaaSMA,4756.8383,91837.0824,436854147,1.9952E10
ROI_0_AbetaCD31,2879.3836,91837.0824,264434190,1.2077E10
ROI_0_Abetaabeta,1121.1105,91837.0824,102959514,4.7023E9
ROI_1_aSMAaSMA,10392.5494,4628.4626,48101526.3,2.1968E9
ROI_1_aSMACD31,4165.591,4628.4626,19280282.2,880551787
ROI_1_aSMAabeta,7976.189,4628.4626,36917492.4,1686062659
ROI_1_CD31aSMA,19090.0489,8809.2461,168168939,7.6805E9
ROI_1_CD31CD31,4959.4672,8809.2461,43689167.2,1995332528
ROI_1_CD31abeta,2552.3734,8809.2461,22484485,1.0269E9
ROI_1_AbetaaSMA,5797.1761,4954.4455,28721793.1,1311756018
ROI_1_AbetaCD31,18017.0309,4954.4455,89264398.2,4.0768E9
ROI_1_Abetaabeta,1266.1774,4954.4455,6273207.12,286504299
ROI_2_aSMAaSMA,12222.7856,3726.3386,45546237.6,2080146985
ROI_2_aSMACD31,4817.0298,3726.3386,17949884.2,819791038
ROI_2_aSMAabeta,9877.7793,3726.3386,36807950.1,1681059740
ROI_2_CD31aSMA,20944.8708,7907.1221,165613650,7.5638E9
ROI_2_CD31CD31,5357.04,7907.1221,42358769.2,1934571779
ROI_2_CD31abeta,2829.7202,7907.1221,22374942.7,1021888350
ROI_2_AbetaaSMA,6455.0867,4056.3065,26183810.4,1195843546
ROI_2_AbetaCD31,21734.6359,4056.3065,88162345.4,4.0265E9
ROI_2_Abetaabeta,1520.3006,4056.3065,6166805.12,281644802
