
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,1.26139,33682.8,84.7805,1002.17,7.12152,112843,1331,um^2,Surface,,,,,1,
Distance from Origin,39.2785,474.076,294.965,72.0103,298.532,392599,1331,um,Surface,,Distance from Origin,,,1,
Distance to Image Border XY,0,173.505,70.5549,42.5213,64.7377,93908.5,1331,um,Surface,,,Image 1,,1,
Ellipticity (oblate),0.0681877,0.865185,0.36264,0.126907,0.347253,482.674,1331,,Surface,,,,,1,
Ellipticity (prolate),0.0331919,0.943549,0.43923,0.166365,0.421426,584.615,1331,,Surface,,,,,1,
Intensity Max,2804,65535,8843.98,9922.33,5592,1.17713e+07,1331,,Surface,1,,Image 1,,1,
Intensity Max,1421,65535,4783.07,5072.95,3797,6.36627e+06,1331,,Surface,2,,Image 1,,1,
Intensity Max,2280,65535,8797.27,7152.88,6480,1.17092e+07,1331,,Surface,3,,Image 1,,1,
Intensity Max,10573,65535,15895.8,5305.06,14620,2.11574e+07,1331,,Surface,4,,Image 1,,1,
Intensity Max,0,65535,4554.35,9968.51,0,6.06184e+06,1331,,Surface,5,,Image 1,,1,
Intensity Max,0,65535,478.054,2914.14,0,636290,1331,,Surface,6,,Image 1,,1,
Intensity Max,0,61767,540.737,3734.47,0,719721,1331,,Surface,7,,Image 1,,1,
Intensity Mean,918.074,34796,2941.07,3024.4,2127.29,3.91456e+06,1331,,Surface,1,,Image 1,,1,
Intensity Mean,717.261,18695,1941.62,1248.23,1706.23,2.58429e+06,1331,,Surface,2,,Image 1,,1,
Intensity Mean,1483.67,16870.1,3924.07,1599.64,3649.6,5.22294e+06,1331,,Surface,3,,Image 1,,1,
Intensity Mean,8889.85,20224.1,10331,985.085,10134.2,1.37506e+07,1331,,Surface,4,,Image 1,,1,
Intensity Mean,0,32375.4,805.508,2521.44,0,1.07213e+06,1331,,Surface,5,,Image 1,,1,
Intensity Mean,0,8279.85,54.0113,397.102,0,71889.1,1331,,Surface,6,,Image 1,,1,
Intensity Mean,0,12365.2,62.8752,675.51,0,83686.9,1331,,Surface,7,,Image 1,,1,
Intensity Median,822,33892.8,2691.98,2885.06,2005.69,3.58303e+06,1331,,Surface,1,,Image 1,,1,
Intensity Median,636.156,17577.5,1847.99,1158.61,1638.36,2.45968e+06,1331,,Surface,2,,Image 1,,1,
Intensity Median,1427.25,16401.2,3745.43,1465.79,3520.47,4.98517e+06,1331,,Surface,3,,Image 1,,1,
Intensity Median,8756.6,16890.8,10180.3,777.472,10013.2,1.35499e+07,1331,,Surface,4,,Image 1,,1,
Intensity Median,0,32895.6,575.391,2505.84,0,765845,1331,,Surface,5,,Image 1,,1,
Intensity Median,0,8117.5,38.8923,397.051,0,51765.6,1331,,Surface,6,,Image 1,,1,
Intensity Median,0,12636,45.9735,686.837,0,61190.8,1331,,Surface,7,,Image 1,,1,
Intensity Min,0,23879,439.036,1502.94,105,584357,1331,,Surface,1,,Image 1,,1,
Intensity Min,2,11862,547.758,603.253,439,729066,1331,,Surface,2,,Image 1,,1,
Intensity Min,312,10623,1830.21,874.822,1676,2.43601e+06,1331,,Surface,3,,Image 1,,1,
