
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Image,Time,
Area,11.7474,19947.2,353.038,1634.55,37.8974,132389,375,um^2,Surface,,,,1,
Distance from Origin,22.1449,461.554,271.582,94.814,279.854,101843,375,um,Surface,,Distance from Origin,,1,
Distance to Image Border XY,0,160.991,60.9416,42.1729,55.9741,22853.1,375,um,Surface,,,Image 1,1,
Ellipticity (oblate),0.0750441,0.837022,0.401673,0.14383,0.389616,150.628,375,,Surface,,,,1,
Ellipticity (prolate),0.0520435,0.860879,0.419263,0.166386,0.41483,157.224,375,,Surface,,,,1,
Intensity Max,3990,65535,12518,10689.3,8180,4.69423e+06,375,,Surface,1,,Image 1,1,
Intensity Max,2013,45756,4814.72,3723.84,3880,1.80552e+06,375,,Surface,2,,Image 1,1,
Intensity Max,2868,65535,12973.1,11622.2,8398,4.86492e+06,375,,Surface,3,,Image 1,1,
Intensity Max,10729,65535,21146.4,11319.2,17668,7.92992e+06,375,,Surface,4,,Image 1,1,
Intensity Max,0,65535,8502.05,11786.6,5808,3.18827e+06,375,,Surface,5,,Image 1,1,
Intensity Max,0,43785,3020.7,3665.74,2989,1.13276e+06,375,,Surface,6,,Image 1,1,
Intensity Max,0,65535,13827.8,15021.6,13319,5.18542e+06,375,,Surface,7,,Image 1,1,
Intensity Mean,1258.52,12222.2,3002.3,1608.29,2426.27,1.12586e+06,375,,Surface,1,,Image 1,1,
Intensity Mean,734.981,4485.6,1465.16,396.59,1372.47,549436,375,,Surface,2,,Image 1,1,
Intensity Mean,995.802,30550.8,3417.95,2900.72,2747.92,1.28173e+06,375,,Surface,3,,Image 1,1,
Intensity Mean,7645.79,24752.2,9736.17,2259.76,9177.19,3.65106e+06,375,,Surface,4,,Image 1,1,
Intensity Mean,0,12222.2,883.099,1640.6,236.742,331162,375,,Surface,5,,Image 1,1,
Intensity Mean,0,3401.53,378.916,558.424,161.874,142094,375,,Surface,6,,Image 1,1,
Intensity Mean,0,18603.2,2562.56,3656.28,967.663,960960,375,,Surface,7,,Image 1,1,
Intensity Median,1094.73,11361.7,2710.54,1432.37,2232.04,1.01645e+06,375,,Surface,1,,Image 1,1,
Intensity Median,667.488,3731.56,1376.43,355.343,1292.29,516160,375,,Surface,2,,Image 1,1,
Intensity Median,933.766,27677.3,3085.64,2747.07,2497.79,1.15711e+06,375,,Surface,3,,Image 1,1,
Intensity Median,7596.07,17024.1,9143.31,1093.7,8910.93,3.42874e+06,375,,Surface,4,,Image 1,1,
Intensity Median,0,11361.7,483.747,1460.36,1.78,181405,375,,Surface,5,,Image 1,1,
Intensity Median,0,3331.1,222.721,549.942,0.868,83520.4,375,,Surface,6,,Image 1,1,
Intensity Median,0,13774.3,1471.67,3214.23,4.0815,551875,375,,Surface,7,,Image 1,1,
Intensity Min,0,2227,121.36,308.935,0,45510,375,,Surface,1,,Image 1,1,
Intensity Min,5,919,254.227,127.686,236,95335,375,,Surface,2,,Image 1,1,
Intensity Min,95,15856,988.84,1293.21,788,370815,375,,Surface,3,,Image 1,1,
Intensity Min,1641,5812,4112.84,737.591,4179,1.54232e+06,375,,Surface,4,,Image 1,1,
Intensity Min,0,1875,22.8213,186.954,0,8558,375,,Surface,5,,Image 1,1,
Intensity Min,0,919,15.3147,94.8112,0,5743,375,,Surface,6,,Image 1,1,
Intensity Min,0,5171,120.808,708.235,0,45303,375,,Surface,7,,Image 1,1,
Intensity StdDev,847.93,6001.4,1724.33,1023.78,1301.55,646623,375,,Surface,1,,Image 1,1,
Intensity StdDev,342.061,3367.77,630.133,250.682,566.552,236300,375,,Surface,2,,Image 1,1,
Intensity StdDev,379.255,10931.5,1516.92,1341.57,1008.59,568846,375,,Surface,3,,Image 1,1,
Intensity StdDev,1078.29,18563,2898.25,2734.3,2185.95,1.08684e+06,375,,Surface,4,,Image 1,1,
Intensity StdDev,0,6014.35,1102.21,1318,794.995,413328,375,,Surface,5,,Image 1,1,
Intensity StdDev,0,2938,443.869,416.177,459.369,166451,375,,Surface,6,,Image 1,1,
Intensity StdDev,0,22051.3,3009.08,3798.49,2691.62,1.12841e+06,375,,Surface,7,,Image 1,1,
Intensity Sum,249638,6.92956e+09,7.21447e+07,4.64009e+08,1.49309e+06,2.70543e+10,375,,Surface,1,,Image 1,1,
Intensity Sum,144523,2.12803e+09,2.7369e+07,1.59069e+08,801380,1.02634e+10,375,,Surface,2,,Image 1,1,
Intensity Sum,277901,6.06246e+09,8.58692e+07,4.886e+08,1.58975e+06,3.22009e+10,375,,Surface,3,,Image 1,1,
Intensity Sum,1.263e+06,2.99542e+10,3.61487e+08,2.22801e+09,5.17203e+06,1.35558e+11,375,,Surface,4,,Image 1,1,
Intensity Sum,0,4.30531e+09,4.3533e+07,2.91059e+08,142282,1.63249e+10,375,,Surface,5,,Image 1,1,
Intensity Sum,0,1.00621e+09,1.34943e+07,8.04392e+07,90615,5.06035e+09,375,,Surface,6,,Image 1,1,
Intensity Sum,0,1.90439e+10,2.37199e+08,1.48843e+09,547178,8.89496e+10,375,,Surface,7,,Image 1,1,
Number of Disconnected Components,1,1,1,0,1,375,375,,Surface,,,,1,
Position X,0.803237,352.501,167.608,97.317,159.486,62853.1,375,um,Surface,,Position,,1,
