
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,7.75517,8920.9,64.176,314,23.3638,139583,2175,um^2,Surface,,,,,1,
Distance from Origin,29.9118,495.051,297.611,87.8893,307.836,647304,2175,um,Surface,,Distance from Origin,,,1,
Distance to Image Border XY,0,171.198,62.3443,41.8442,58.7775,135599,2175,um,Surface,,,Image 1,,1,
Ellipticity (oblate),0.0900092,0.853516,0.375721,0.113892,0.363717,817.193,2175,,Surface,,,,,1,
Ellipticity (prolate),0.0686083,0.885958,0.442434,0.152968,0.424773,962.293,2175,,Surface,,,,,1,
Intensity Max,2143,65535,15964.8,12146.9,11316,3.47235e+07,2175,,Surface,1,,Image 1,,1,
Intensity Max,1877,65535,8150.08,7714.63,6306,1.77264e+07,2175,,Surface,2,,Image 1,,1,
Intensity Max,3124,65535,9732.3,6915.06,7874,2.11677e+07,2175,,Surface,3,,Image 1,,1,
Intensity Max,17457,65535,27484,7008.29,25924,5.97777e+07,2175,,Surface,4,,Image 1,,1,
Intensity Max,0,65535,5510.41,10319.5,0,1.19851e+07,2175,,Surface,5,,Image 1,,1,
Intensity Max,0,65535,3508.36,5866.31,0,7.63069e+06,2175,,Surface,6,,Image 1,,1,
Intensity Max,0,65535,10117.4,13024.5,0,2.20053e+07,2175,,Surface,7,,Image 1,,1,
Intensity Mean,614.863,34060,4847.6,3950.52,3419.21,1.05435e+07,2175,,Surface,1,,Image 1,,1,
Intensity Mean,775.032,51226.3,2937.6,2010.87,2578.95,6.38928e+06,2175,,Surface,2,,Image 1,,1,
Intensity Mean,1414.1,14149.8,3859.85,1252.94,3576.9,8.39517e+06,2175,,Surface,3,,Image 1,,1,
Intensity Mean,13488.6,34518.6,16293.2,1684.94,16060.9,3.54377e+07,2175,,Surface,4,,Image 1,,1,
Intensity Mean,0,28970.2,548.391,1786.21,0,1.19275e+06,2175,,Surface,5,,Image 1,,1,
Intensity Mean,0,16677.9,393.198,959.825,0,855205,2175,,Surface,6,,Image 1,,1,
Intensity Mean,0,19034.2,1559.3,3331.2,0,3.39147e+06,2175,,Surface,7,,Image 1,,1,
Intensity Median,476.048,34805.7,4381.99,3715.79,3116.57,9.53082e+06,2175,,Surface,1,,Image 1,,1,
Intensity Median,720.408,59068.4,2748.18,1908.2,2461.83,5.97729e+06,2175,,Surface,2,,Image 1,,1,
Intensity Median,1305.24,13949.9,3671.18,1147.43,3431.59,7.98482e+06,2175,,Surface,3,,Image 1,,1,
Intensity Median,13368,30503.7,15841.7,1236.49,15706.1,3.44556e+07,2175,,Surface,4,,Image 1,,1,
Intensity Median,0,27566.9,259.634,1548.63,0,564703,2175,,Surface,5,,Image 1,,1,
Intensity Median,0,15912.4,200.54,897.246,0,436175,2175,,Surface,6,,Image 1,,1,
Intensity Median,0,18252.5,857.044,3374.78,0,1.86407e+06,2175,,Surface,7,,Image 1,,1,
Intensity Min,0,16610,539.546,1218.43,146,1.17351e+06,2175,,Surface,1,,Image 1,,1,
Intensity Min,0,6846,645.789,502.501,549,1.40459e+06,2175,,Surface,2,,Image 1,,1,
Intensity Min,182,6107,1385.43,606.359,1275,3.01332e+06,2175,,Surface,3,,Image 1,,1,
Intensity Min,4939,12104,9156.98,1117.05,9264,1.99164e+07,2175,,Surface,4,,Image 1,,1,
Intensity Min,0,4715,6.83632,124.499,0,14869,2175,,Surface,5,,Image 1,,1,
Intensity Min,0,3990,10.3283,142.455,0,22464,2175,,Surface,6,,Image 1,,1,
Intensity Min,0,11670,66.7329,804.95,0,145144,2175,,Surface,7,,Image 1,,1,
Intensity StdDev,505.665,17850,2551.72,2075.36,1713.99,5.55e+06,2175,,Surface,1,,Image 1,,1,
Intensity StdDev,347.098,20669.7,1221.44,1315.3,952.357,2.65664e+06,2175,,Surface,2,,Image 1,,1,
Intensity StdDev,452.733,8295.93,1260.91,675.535,1053.19,2.74248e+06,2175,,Surface,3,,Image 1,,1,
Intensity StdDev,1456.93,18197.1,3319.16,1543.67,2975.02,7.21917e+06,2175,,Surface,4,,Image 1,,1,
Intensity StdDev,0,18600.8,839.06,1804.27,0,1.82496e+06,2175,,Surface,5,,Image 1,,1,
Intensity StdDev,0,16404.9,580.393,996.618,0,1.26235e+06,2175,,Surface,6,,Image 1,,1,
Intensity StdDev,0,18869.2,2157.23,3135.7,0,4.69198e+06,2175,,Surface,7,,Image 1,,1,
Intensity Sum,88395,2.94186e+09,1.04654e+07,1.01002e+08,1.37451e+06,2.27623e+10,2175,,Surface,1,,Image 1,,1,
Intensity Sum,92395,1.31177e+09,5.52539e+06,4.85983e+07,890545,1.20177e+10,2175,,Surface,2,,Image 1,,1,
Intensity Sum,154137,3.34731e+09,1.17985e+07,1.23954e+08,1.20389e+06,2.56618e+10,2175,,Surface,3,,Image 1,,1,
Intensity Sum,1.42642e+06,1.6499e+10,5.25675e+07,5.80191e+08,5.11177e+06,1.14334e+11,2175,,Surface,4,,Image 1,,1,
Intensity Sum,0,1.47162e+09,3.95831e+06,5.11411e+07,0,8.60933e+09,2175,,Surface,5,,Image 1,,1,
Intensity Sum,0,5.8596e+08,1.81158e+06,2.18043e+07,0,3.94018e+09,2175,,Surface,6,,Image 1,,1,
Intensity Sum,0,6.62238e+09,1.69427e+07,2.26603e+08,0,3.68504e+10,2175,,Surface,7,,Image 1,,1,
Number of Disconnected Components,1,1,1,0,1,2175,2175,,Surface,,,,,1,
Position X,0.480422,353.251,188.484,94.5566,189.564,409952,2175,um,Surface,,Position,,,1,
Position Y,0.271282,353.13,204.946,93.9751,210.523,445757,2175,um,Surface,,Position,,,1,
Position Z,23.5,40.8873,31.3586,3.49236,30.9817,68204.9,2175,um,Surface,,Position,,,1,
Shortest Distance to Surfaces,-0.15051,35.716,7.4981,6.15901,6.40608,16308.4,2175,um,Surface,,,,Surfaces 2,1,
Shortest Distance to Surfaces,-0.742023,8.08907,0.706362,1.10638,0.0873469,1536.34,2175,um,Surface,,,,Surfaces 3,1,
Shortest Distance to Surfaces,-0.667688,9.70108,1.77407,1.7919,1.33226,3858.61,2175,um,Surface,,,,Surfaces 1,1,
Sphericity,0.340408,0.974708,0.839665,0.108114,0.872502,1826.27,2175,,Surface,,,,,1,
Time,0,0,0,0,0,0,2175,s,Surface,,,,,1,
Time Index,1,1,1,0,1,2175,2175,,Surface,,,,,1,
Volume,1.44002,15735.7,62.9369,588.683,8.54608,136888,2175,um^3,Surface,,,,,1,
